BankKey,ItemKey,OldGrade,NewGrade,OldSubject,NewSubject,OldClaim,NewClaim,OldTarget,NewTarget,OldInteractionCode,NewInteractionCode,OldAslSupported,NewAslSupported,OldStimulus,NewStimulus,OldDOK,NewDOK,OldCoreStandard,NewCoreStandard,NewStandardPublications,Equal
187,3222,Grade3,Grade3,MATH,MATH,2,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3465,Grade4,Grade4,MATH,MATH,1,,A,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3346,Grade8,Grade8,MATH,MATH,2,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3212,Grade3,Grade3,MATH,MATH,1,,F,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3593,Grade4,Grade4,MATH,MATH,3,,D,,GI,GI,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3595,Grade6,Grade6,MATH,MATH,4,,A,,MS,MS,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3350,Grade3,Grade3,MATH,MATH,3,,D,,MC,MC,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3467,Grade4,Grade4,MATH,MATH,1,,A,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3354,Grade5,Grade5,MATH,MATH,4,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3471,Grade3,Grade3,MATH,MATH,1,,D,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3352,High,High,MATH,MATH,2,,D,,MI,MI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3228,Grade8,Grade8,MATH,MATH,1,,D,,GI,GI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3226,Grade4,Grade4,MATH,MATH,1,,E,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3358,High,High,MATH,MATH,1,,G,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3597,Grade3,Grade3,MATH,MATH,3,,E,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3356,Grade7,Grade7,MATH,MATH,1,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3234,Grade3,Grade3,MATH,MATH,1,,C,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3230,High,High,MATH,MATH,3,,F,,GI,GI,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3483,Grade8,Grade8,MATH,MATH,1,,C,,GI,GI,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3477,Grade7,Grade7,MATH,MATH,1,,F,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
